tour,spring,summer,autumn,winter
작천정계곡,0,1,0,0
운정호수공원,1,1,1,0
일영계곡,0,1,0,0
동막계곡,0,1,0,0
수성패밀리파크,1,1,1,0
테마파크소풍,0,1,1,0
탑골공원,1,1,1,0
격포해수욕장,1,1,0,0
마검포해수욕장,1,1,1,0
금정산,1,0,1,1
칠포해수욕장,1,1,1,0
덕풍계곡,1,1,0,0
동산,1,1,1,1
축령산,1,1,1,0
화양구곡,0,1,0,0
이순신광장,0,1,1,0
장각폭포,0,1,0,0
안산호수공원,1,1,1,0
비슬산,1,0,0,0
기흥호수공원,1,1,1,0
비둘기낭폭포,0,1,1,0
연포해수욕장,1,1,1,0
가야랜드,1,0,1,0
아침가리계곡,0,1,0,0
황령산,1,1,1,0
선샤인랜드,0,1,1,0
운악산,1,0,1,0
방태산,0,1,1,0
봉숭아,1,1,1,0
구갈레스피아,1,1,1,0
송정해수욕장,1,1,0,0
구봉산,1,1,1,0
용산공원,1,0,1,1
발왕산,0,1,1,1
수락계곡,0,1,0,0
신흥레저타운,0,1,0,0
송해공원,1,0,1,0
식장산,0,1,1,0
녹수계곡,0,1,0,0
아미산,1,1,1,0
주문진해수욕장,0,1,0,0
갯골생태공원,0,1,1,0
변산반도국립공원,1,1,1,0
소래습지생태공원,1,0,1,0
연화산,1,1,1,1
관악산계곡,0,1,0,0
대야산,1,1,0,0
실미도유원지,1,1,1,0
유림공원,1,1,1,0
장사해수욕장,1,1,0,0
신두리해수욕장,1,1,0,0
김삿갓계곡,0,1,0,0
인천나비공원,1,1,1,0
유원지,1,1,0,0
다산생태공원,1,1,1,0
모악산,1,0,1,0
일광해수욕장,1,1,1,0
근린공원,1,1,1,0
매봉산,1,0,1,0
일영유원지,1,1,0,0
메이즈랜드,1,0,1,1
오창호수공원,1,1,1,0
백도해수욕장,0,1,0,0
천진해수욕장,0,1,0,0
한담해변,1,1,1,0
우면산,1,1,1,1
나리공원,0,1,1,0
용추폭포,0,1,1,0
토왕성폭포,1,1,1,0
송도해수욕장,1,1,0,0
주산,1,1,0,0
북한산국립공원,1,1,1,0
계족산,1,1,1,0
괴산자연드림파크,1,1,1,1
덕산기계곡,0,1,0,0
가지산,1,0,1,1
용봉산,1,0,1,1
지산유원지,0,1,1,0
용마폭포공원,1,1,1,0
덕동계곡,0,1,0,0
신불산,1,0,1,0
공룡공원,0,1,1,0
황룡강생태공원,0,1,1,0
환산,1,1,1,0
앞산,1,1,1,0
학암포해수욕장,1,1,0,0
직탕폭포,0,1,1,0
지장산계곡,0,1,0,0
백사실계곡,1,1,0,0
물한계곡,0,1,0,0
화악산,0,1,1,0
남창계곡,0,1,0,0
금은모래강변공원,0,1,1,0
함백산,0,1,0,1
대모산,1,0,0,0
달성노을공원,0,1,1,0
이사부사자공원,0,1,1,0
팔공산하늘정원,0,1,1,0
삼악산,1,0,1,0
신화테마파크,1,1,1,0
용화해수욕장,0,1,0,0
파래소폭포,0,1,1,0
중산리계곡,0,1,0,0
장산,0,0,1,1
발산,1,1,1,0
해월정,1,1,1,1
경천섬공원,0,1,1,0
연희자연마당,1,1,1,0
광나루한강공원,1,1,1,0
가마골,1,1,0,0
용소계곡,1,1,0,0
월정리해수욕장,1,1,1,0
천안삼거리공원,1,1,1,0
마로니에공원,1,0,1,0
죽도해수욕장,0,1,0,0
안덕계곡,1,1,1,0
광릉,1,1,1,0
영축산,0,0,1,0
천태산,1,1,1,0
몽돌해수욕장,1,1,0,0
비산,1,1,0,0
증평자전거공원,1,1,1,0
동화속으로미로공원,1,1,1,0
노을공원,1,1,1,0
배곧생명공원,1,1,1,0
민주지산,0,0,0,1
곤지암도자공원,1,1,1,0
달성공원,1,0,1,0
코코몽팜빌리지,0,1,1,0
삼탄유원지,1,1,0,0
예봉산,1,0,1,0
용두해수욕장,1,1,1,0
남애3리해수욕장,0,1,0,0
삼부연폭포,0,1,1,0
환구단,0,1,1,1
남산공원,1,1,1,0
남해금산,1,1,1,0
단양유람선,1,1,1,0
임랑해수욕장,1,1,0,0
문복산,1,1,1,1
서원계곡,0,1,0,0
연곡계곡,0,1,0,0
보문산,1,1,1,0
민둥산,0,0,1,0
월미테마파크,1,1,1,0
내원사계곡,0,1,0,0
광주공원,1,1,1,0
삼성산,1,1,1,0
드림랜드,1,1,1,0
봉화산,1,0,1,1
영인산,1,0,1,0
달산포해수욕장,1,1,1,0
광화문광장,1,1,1,0
장호해수욕장,0,1,0,0
광암해수욕장,1,1,0,0
여수해양공원,1,1,1,0
광교중앙공원,1,1,1,0
함양용추계곡,0,1,0,0
정동진조각공원,1,1,1,1
오대산국립공원,1,1,1,0
경포해수욕장,0,1,0,0
병지방계곡,0,1,0,0
외옹치해수욕장,0,1,0,0
하동송림공원,0,1,1,0
가야산국립공원,0,1,1,0
뱀사골계곡,0,1,0,0
기회송림공원,0,1,1,0
국사봉,1,0,0,0
창릉,0,0,0,1
계방산,0,0,0,1
소백산국립공원,1,1,1,1
오서산,0,0,1,1
청주랜드,1,0,0,0
어등산,1,1,0,0
속리산국립공원,0,1,1,0
장경리해수욕장,1,1,0,0
쌍용계곡,0,1,0,0
당진해양캠핑공원,1,1,1,0
동해무릉건강숲,1,1,1,0
분당중앙공원,1,0,1,0
키즈클럽,1,1,1,1
네이처월드,0,1,1,0
갈음이해수욕장,1,1,0,0
구만산,0,1,0,0
금화계곡,0,1,0,0
와현해수욕장,0,1,0,0
김포함상공원,0,1,1,0
앙카라공원,1,1,0,0
엑스포과학공원,1,1,1,0
병목안시민공원,1,1,1,0
사나사계곡,0,1,0,0
육림랜드,1,1,1,0
하도해수욕장,1,1,0,1
금오랜드,1,1,1,1
호명산,1,1,1,0
몽돌해변,1,1,0,0
사계해안,1,1,1,0
고양피크닉시민공원,1,1,1,0
대장경테마파크,0,1,1,0
김천물소리생태숲,0,1,1,0
송산유원지,1,1,0,0
구룡포해수욕장,0,1,1,0
문암생태공원,1,1,1,0
선암호수공원,1,1,1,0
방포해수욕장,1,1,0,1
새마을운동테마공원,1,1,1,0
화산체육공원,1,1,1,0
운문산,1,0,1,0
중대물빛공원,1,1,1,0
정암수목공원,1,1,1,0
진해드림파크,0,1,1,0
마곡유원지,0,1,1,0
제주4.3평화공원,1,0,1,1
청계광장,1,0,1,1
내장산국립공원,0,0,1,0
얼음골,0,1,0,1
울진해수욕장,0,1,0,0
송상현광장,1,0,0,1
광주호호수생태원,0,1,1,0
어비계곡,0,1,1,1
대원사계곡,0,1,0,0
어달해수욕장,0,1,0,0
몽마르뜨공원,1,1,1,0
무갑산,0,1,0,0
상리연꽃공원,0,1,0,0
운길산,1,0,1,0
수동계곡,1,1,0,0
동막골유원지,0,1,0,0
정암해수욕장,1,1,0,0
옥계폭포,0,1,1,0
구리한강시민공원,1,0,1,0
중앙공원,1,1,1,0
기지포해수욕장,1,1,1,0
장길리복합낚시공원,0,1,1,0
점봉산,1,1,1,0
계룡산국립공원,0,1,1,0
월광수변공원,0,1,1,0
법수치계곡,0,1,0,0
추암해수욕장,0,1,0,0
사곡해수욕장,0,1,0,0
화원유원지,1,1,1,0
백양산,1,0,1,0
뿌리공원,1,1,1,0
어은돌해수욕장,1,1,1,0
조계산,1,0,1,0
생태공원,1,1,1,0
천리포해수욕장,0,1,1,0
플레이킹덤,0,1,1,0
아이니테마파크,0,1,1,0
와룡산,1,1,1,1
강천산,0,1,1,0
다도해해상국립공원,1,1,1,0
삼계리계곡,0,1,0,0
논산시민공원,1,1,0,0
입곡군립공원,1,1,1,0
고양생태공원,1,1,1,0
강서한강공원,1,1,1,0
경안천습지생태공원,1,1,1,0
걸포중앙공원,1,1,1,0
장안사계곡,0,1,0,0
탑동계곡,0,1,0,0
공수전계곡,0,1,0,0
대천필랜드,0,1,0,0
연인산,1,1,1,0
창원시립상복공원,1,0,1,1
개화예술공원,1,1,1,0
덕유산국립공원,1,0,1,1
용수골계곡,0,1,0,0
금수산,1,1,1,0
동상계곡,0,1,0,0
사천해수욕장,0,1,0,0
부평공원,1,1,1,1
선자령,1,0,1,1
내연산,0,1,0,1
불곡산,1,1,1,0
칠곡보생태공원,1,1,1,0
구문소,1,1,1,0
만석공원,1,0,0,0
365세이프타운,1,1,1,0
한우산,1,1,1,0
등대해수욕장,1,1,0,0
브릭캠퍼스,1,1,0,1
용소웰빙공원,0,1,1,0
철구소계곡,0,1,0,0
칠봉유원지,1,1,0,0
화왕산,1,0,1,0
명지산,1,1,1,0
상림공원,0,1,1,0
평택호예술공원,0,1,1,0
아인스월드,1,1,1,0
고인돌공원,1,1,1,0
미시령계곡,0,1,0,0
담터계곡,0,1,0,0
칡소폭포,0,1,0,0
옥계해수욕장,0,1,0,0
장사도해상공원,0,1,0,1
사천진해수욕장,0,1,0,0
공룡테마파크,1,1,1,0
김해수로왕릉,1,1,1,0
설악해수욕장,1,1,0,0
원적산,1,0,1,0
홍릉,1,0,1,1
길동생태공원,1,1,1,0
마차진해수욕장,1,1,0,0
삼각산,1,0,1,0
도락산,1,1,1,1
용두산공원,1,0,1,1
월포해수욕장,0,1,1,0
구시포해수욕장,1,1,0,0
옥산,1,1,1,0
돌머리해수욕장,0,1,1,0
방죽포해수욕장,0,1,1,0
척산족욕공원,1,1,1,0
치악산국립공원,0,1,1,0
함평엑스포공원,1,1,1,0
능강계곡,1,1,0,0
대승폭포,0,1,1,0
설봉공원,1,1,1,0
파도리해수욕장,0,1,1,0
마린파크,0,1,0,0
하고수동해수욕장,0,1,1,0
밤섬유원지,1,1,1,0
치산계곡,1,1,0,0
왕방계곡,0,1,0,0
빙계계곡,0,1,0,0
한강중앙공원,0,1,1,0
공현진해수욕장,0,1,0,0
서대산,1,1,1,0
어치계곡,0,1,0,0
옥녀봉,1,1,0,0
거제포로수용소유적공원,0,1,1,0
남애해수욕장,0,1,0,0
능금,0,1,1,0
도구해수욕장,1,1,0,0
구룡산,1,0,0,0
금강로하스대청공원,1,1,1,0
남해토피아랜드,0,1,1,0
용오름계곡,0,1,0,0
헌인릉,1,0,1,1
천성산,1,0,1,0
동대문역사문화공원,1,1,1,0
시민공원,1,1,1,0
가리산,1,1,1,0
직소폭포,1,1,0,0
스카이파크,0,1,1,1
승학산,1,0,1,0
탑정호수변생태공원,0,1,1,0
평화광장,1,1,1,0
구미낙동강체육공원,1,0,1,1
지상낙원,1,1,0,0
안산공원,1,1,1,0
드들강솔밭유원지,1,1,1,0
봉수대해수욕장,0,1,0,0
수옥폭포,0,1,1,0
대치유수지체육공원,1,1,0,0
일월산,1,0,1,1
월드컵공원,1,0,1,0
천관산,0,0,1,1
달궁계곡,0,1,0,0
은하수공원,0,0,1,1
노고산,1,0,1,0
대왕별아이누리,0,1,1,0
낙성대공원,1,1,1,0
안산갈대습지공원,0,0,1,0
학동몽돌해수욕장,0,1,0,0
비봉산,1,0,1,0
흥남해수욕장,1,1,0,0
한섬해수욕장,0,1,0,0
광주시민의숲,1,1,1,0
구름산,1,1,1,0
대웅전,1,0,0,1
미륵산,1,0,1,1
장릉,0,0,1,1
금오산랜드,0,1,0,1
청계산맑은숲공원,0,1,0,0
수리산도립공원,1,1,1,0
구천동계곡,0,1,0,0
북한산성,1,1,1,0
녹차미로공원,0,1,1,0
서리풀공원,1,1,1,0
오도산,0,1,1,1
나사해수욕장,1,1,0,0
동백호수공원,1,1,1,0
정동진해수욕장,0,1,0,0
수룡폭포,0,1,0,0
늘품,1,1,1,1
남원랜드,1,1,1,0
비금계곡,0,1,0,0
주금산,1,1,1,0
칠선계곡,1,1,1,0
구례포해수욕장,0,1,1,0
도당근린공원,1,1,1,0
명사해수욕장,1,1,1,0
백련산,1,1,1,0
삼청공원,1,0,1,0
대동하늘공원,1,1,1,0
황석산,1,1,1,0
라바파크,1,1,1,0
만수계곡,0,1,0,0
장삼포해수욕장,1,1,1,0
모락산,1,0,1,0
소풍정원,1,1,1,0
평촌중앙공원,1,1,0,0
바람아래해수욕장,1,1,1,0
봉래산,1,0,1,1
조무락계곡,0,1,0,0
모사금해수욕장,1,1,0,0
삼천사계곡,0,1,0,0
오남호수공원,1,1,1,0
구산해수욕장,1,1,0,0
동탄북광장,1,0,1,1
비인해수욕장,1,1,1,0
톱머리해수욕장,1,1,1,0
대진해수욕장,1,1,0,0
덕항산,0,1,1,0
명성산,0,0,1,0
무학산,1,0,1,0
돌산,1,1,1,0
몰운대,1,1,1,0
키즈오토파크,1,0,0,1
평화의공원,1,1,1,0
강릉통일공원,1,1,0,1
원평해수욕장,0,1,0,0
진달래공원,1,1,1,0
신양섭지해수욕장,1,1,0,0
태안해안국립공원,1,1,1,0
태화산,1,1,1,0
낙양물사랑공원,0,1,1,0
서동공원,0,1,1,0
화진해수욕장,1,1,0,0
금강공원,1,1,1,0
법흥계곡,0,1,0,0
삼양해수욕장,1,1,0,0
상주은모래비치,0,1,0,0
가마미해수욕장,1,1,1,0
주흘산,1,0,1,1
소금강계곡,0,1,0,0
제주신화역사공원,1,1,1,0
진남관,1,1,1,0
화랑공원,1,1,1,0
에덴힐스힐링파크,0,1,1,0
희양산,1,1,1,0
덕진공원,1,1,1,0
화랑유원지,1,1,1,0
별빛공원,0,1,1,0
홀통해수욕장,1,1,1,0
선녀와나무꾼테마공원,0,1,1,0
더파크12,1,1,1,0
마이랜드,1,1,1,0
오송호수공원,1,1,1,0
운장산,1,1,1,1
원적산공원,1,1,1,0
궁평유원지,1,1,1,0
단산,1,1,1,1
고헌산,1,0,1,1
기성망양해수욕장,1,1,0,0
원산도해수욕장,1,1,0,1
조령산,1,0,1,0
드림파크야생화단지,1,0,1,0
효원공원,1,1,1,0
구병산,1,0,0,1
솔밭공원,1,1,1,0
제주코코몽에코파크,1,1,0,0
기흥레스피아,1,1,1,0
사릉,1,1,1,0
이가리해수욕장,1,1,0,0
청태산,1,1,1,0
법용유원지,0,1,0,0
용두산,1,1,1,1
꿀벌나라테마공원,1,1,1,0
삼산,1,1,1,1
서울선릉과정릉,0,1,1,0
월미공원,1,0,0,0
용화산,1,0,1,1
새만금어린이랜드,1,1,1,0
유명산계곡,0,1,0,0
물치해수욕장,1,1,1,0
월출산기찬랜드,0,1,1,0
자은백길해수욕장,0,1,0,0
도림사계곡,0,1,0,0
선운산,1,0,1,0
양산워터파크,1,1,1,0
어린이공원,1,0,1,0
월성계곡,0,1,0,0
일산해수욕장,1,1,0,0
팔봉산관광지,0,1,0,0
왕산,1,1,1,0
용소유원지,0,1,0,0
솔향공원,0,1,1,0
청수호수공원,0,1,1,0
울진엑스포공원,0,1,1,0
충주세계무술공원,0,1,1,0
가야공원,1,1,1,0
무등산국립공원,0,0,1,1
팔영산,1,0,1,0
내평계곡,0,1,0,0
삼사해상공원,1,1,1,1
양산공원,1,0,1,0
장안산,1,0,1,0
대봉산,1,1,1,0
백리포해수욕장,1,1,0,0
운일암반일암계곡,0,1,0,0
도덕산,1,1,1,0
자구리공원,1,1,1,0
좌구산,1,1,1,0
한울공원,1,1,1,0
화포천습지생태공원,1,1,1,0
단양생태체육공원,0,1,1,0
지리산허브밸리,1,0,0,1
토함산,0,1,1,0
고대산,1,0,1,1
줄포만갯벌생태공원,0,1,1,0
무수천,1,1,0,0
진양호공원,1,1,1,0
알작지,0,1,1,0
경주국립공원,1,1,1,0
백운포체육공원,1,1,1,1
삼막애견공원,1,0,1,0
강진만생태공원,0,1,1,0
모항갯벌해수욕장,0,1,1,0
잭슨파이브,0,1,1,0
왕피천계곡,0,1,0,0
대운산내원암계곡,0,1,0,0
삼일계곡,0,1,0,0
태백산국립공원,1,0,0,1
도안호수공원,1,0,0,1
영종진공원,1,1,0,0
우전해수욕장,0,1,0,0
하모해수욕장,1,1,1,0
반려견놀이터,1,0,1,0
백월산,1,1,0,1
챌린지팜,0,1,1,0
진해내수면환경생태공원,1,1,1,0
청수곶자왈,1,1,1,0
춘천수변공원,0,1,1,0
한재골,0,1,0,0
신창간이해변,1,1,1,0
두륜산,1,0,1,1
애월한담공원,1,1,1,0
엄둔계곡,0,1,0,0
엉알해안,1,1,1,1
예산황새공원,1,1,1,0
고불개해변,1,1,0,0
동락공원,1,1,1,0
동호해수욕장,1,1,0,0
타임캡슐공원,0,1,1,0
해신당공원,1,1,1,1
배다리생태공원,1,1,1,0
진포해양테마공원,0,1,1,0
달음산,1,0,1,1
장척계곡,1,1,0,0
구리왕숙체육공원,1,1,1,0
벽계구곡,0,1,0,0
간월산,0,0,1,0
강촌랜드,1,1,1,0
경상감영공원,1,1,1,0
죽주산성,1,1,1,0
하평해변,0,1,1,0
서운산,1,0,1,0
소금산,1,0,1,1
강천산군립공원,0,1,1,0
만인산,1,1,1,0
옥구공원,1,0,0,0
비룡폭포,0,1,1,0
사상근린공원,1,0,1,0
어린이교통공원,1,1,1,0
석산계곡,0,1,0,0
장유폭포,0,1,0,0
영등포공원,1,1,1,0
철마산,1,0,1,0
삼덕공원,1,1,1,1
와룡공원,1,1,1,0
구곡폭포,0,1,1,0
덕산해수욕장,0,1,1,0
유니온파크,1,1,1,0
부남해수욕장,0,1,0,0
남덕유산,0,0,0,1
선유동계곡,0,1,0,0
능포수변공원,0,1,1,0
다리안계곡,0,1,0,0
장전계곡,0,1,0,0
천황산,1,0,1,1
황악산,0,0,1,1
광덕계곡,0,1,0,0
구름포해수욕장,1,1,1,0
달아공원,0,1,1,0
사직공원,1,1,1,0
지세포성,1,1,0,0
평화공원,1,0,1,0
미사리경정공원,1,1,1,0
피쉬월드,0,1,1,0
도명산,1,1,1,0
창원단감테마공원,0,0,1,0
압록유원지,1,1,1,0
왕방산,1,1,1,0
자유공원,1,0,1,0
고흐의정원,0,1,1,1
팔당유원지,0,1,1,0
한탄강유원지,1,1,1,0
금강유원지,1,1,1,0
솔개해수욕장,1,1,0,0
운정건강공원,1,1,1,0
떡바위유원지,0,1,0,0
버드몽테마파크,0,1,1,0
아들바위공원,0,1,1,0
장자호수공원,1,1,1,0
비학산,1,1,1,0
장흥자연휴양림,0,1,1,0
갯마을해수욕장,1,1,1,0
토옥동계곡,0,1,0,0
평창바위공원,1,1,1,0
가포해안변공원,0,1,1,0
만뢰산자연생태공원,1,1,1,0
양천공원,1,0,1,1
해돋이공원,1,1,0,0
영릉,1,1,1,1
가산산성,1,0,1,1
노근리평화공원,1,1,1,0
무궁화동산,1,1,1,0
곰섬해수욕장,1,1,1,0
금강수변공원,1,1,1,0
수성랜드,1,0,1,0
박경리문학공원,1,1,1,0
방장산,0,0,1,1
경반계곡,0,1,0,0
금오산도립공원,0,1,1,0
나곡해수욕장,0,1,0,0
월출산국립공원,0,1,1,0
비진도해수욕장,0,1,0,0
중미산,1,1,1,0
구룡폭포,0,1,1,0
